Time,Short Temp Sensor,Long Temp Sensor,A6581T Int Temp,A6581T,S7081
2020-07-05 12:23:06.753946,24.140625,24.28125,+3.981E+01,+10.0003114E+00,    10.0008952 
2020-07-05 12:24:03.380310,24.140625,24.28125,+3.975E+01,+10.0003123E+00,    10.0008958 
2020-07-05 12:24:59.904681,24.1328125,24.28125,+3.973E+01,+10.0003117E+00,    10.0008955 
2020-07-05 12:25:56.531846,24.125,24.2890625,+3.975E+01,+10.0003119E+00,    10.0008967 
2020-07-05 12:26:53.056993,24.109375,24.28125,+3.987E+01,+10.0003120E+00,    10.0008957 
2020-07-05 12:27:49.581255,24.1171875,24.28125,+3.973E+01,+10.0003129E+00,    10.0008957 
2020-07-05 12:28:46.003775,24.1171875,24.28125,+3.972E+01,+10.0003124E+00,    10.0008963 
2020-07-05 12:29:42.528531,24.1171875,24.2890625,+3.974E+01,+10.0003118E+00,    10.0008952 
2020-07-05 12:30:38.953833,24.1171875,24.2890625,+3.974E+01,+10.0003126E+00,    10.0008973 
2020-07-05 12:31:35.374268,24.1015625,24.2890625,+3.972E+01,+10.0003121E+00,    10.0008960 
2020-07-05 12:32:31.787521,24.1015625,24.2890625,+3.972E+01,+10.0003123E+00,    10.0008969 
2020-07-05 12:33:28.422306,24.1015625,24.28125,+3.981E+01,+10.0003114E+00,    10.0008973 
2020-07-05 12:34:24.947757,24.1015625,24.2890625,+3.974E+01,+10.0003123E+00,    10.0008948 
