date;source;duta;dutb;dutc;dutd;sdev;sdev2;sdev3;sdev4;temp;temp2
date;source;duta;dutb;dutc;dutd;sdev;sdev2;sdev3;sdev4;temp;temp2
09212021-00:11:36;-3.100000000;-3.100000063;-3.100000510;0.000000000;0.000000000;1.20855e-07;1.11455e-07;0;0;37.0;37.3
09212021-00:11:58;-3.000000000;-2.999999890;-3.000000754;0.000000000;0.000000000;6.62185e-08;1.02588e-07;0;0;37.0;37.3
09212021-00:12:19;-2.900000000;-2.899999628;-2.900000500;0.000000000;0.000000000;1.1495e-07;8.16673e-08;0;0;37.0;37.3
09212021-00:12:41;-2.800000000;-2.799999793;-2.800000597;0.000000000;0.000000000;5.66412e-08;1.82635e-08;0;0;37.0;37.3
09212021-00:13:03;-2.700000000;-2.699999944;-2.700000489;0.000000000;0.000000000;1.22247e-07;2.15988e-07;0;0;37.0;37.3
09212021-00:13:24;-2.600000000;-2.600000123;-2.600000646;0.000000000;0.000000000;3.6527e-08;3.16333e-08;0;0;37.0;37.3
09212021-00:13:46;-2.500000000;-2.500000200;-2.500000904;0.000000000;0.000000000;1.48218e-07;9.61815e-08;0;0;37.0;37.3
09212021-00:14:07;-2.400000000;-2.399999909;-2.400000518;0.000000000;0.000000000;6.16027e-08;8.16673e-08;0;0;37.0;37.3
09212021-00:14:29;-2.300000000;-2.300000104;-2.300000792;0.000000000;0.000000000;6.70191e-08;7.9504e-08;0;0;37.0;37.3
09212021-00:14:51;-2.200000000;-2.200000284;-2.200000669;0.000000000;0.000000000;9.19384e-08;9.05796e-08;0;0;37.0;37.3
09212021-00:15:12;-2.100000000;-2.100000390;-2.100000811;0.000000000;0.000000000;7.07107e-09;9.66379e-08;0;0;37.0;37.3
09212021-00:15:34;-2.000000000;-2.000000187;-2.000000806;0.000000000;0.000000000;1.4563e-07;1.1078e-07;0;0;37.0;37.3
09212021-00:15:55;-1.900000000;-1.900000190;-1.900000844;0.000000000;0.000000000;1.33941e-07;3.03901e-08;0;0;37.0;37.3
09212021-00:16:17;-1.800000000;-1.800000282;-1.800000898;0.000000000;0.000000000;9.07904e-08;7.00682e-08;0;0;37.0;37.3
09212021-00:16:39;-1.700000000;-1.700000461;-1.700001040;0.000000000;0.000000000;8.01374e-08;5.99685e-08;0;0;37.0;37.3
09212021-00:17:01;-1.600000000;-1.600000170;-1.600000771;0.000000000;0.000000000;1.22942e-07;1.38306e-07;0;0;37.0;37.3
09212021-00:17:23;-1.500000000;-1.500000276;-1.500000795;0.000000000;0.000000000;4.56143e-08;1.18415e-08;0;0;37.0;37.3
09212021-00:17:45;-1.400000000;-1.400000486;-1.400000980;0.000000000;0.000000000;1.75375e-07;2.03831e-07;0;0;37.0;37.3
09212021-00:18:07;-1.300000000;-1.300000268;-1.300001004;0.000000000;0.000000000;7.3089e-08;8.98938e-08;0;0;37.0;37.3
09212021-00:18:28;-1.200000000;-1.200000197;-1.200000736;0.000000000;0.000000000;1.11455e-07;7.00682e-08;0;0;37.0;37.3
09212021-00:18:50;-1.100000000;-1.100000333;-1.100000848;0.000000000;0.000000000;7.3089e-08;1.29474e-07;0;0;37.0;37.3
09212021-00:19:11;-1.000000000;-1.000000410;-1.000000989;0.000000000;0.000000000;5.48776e-08;8.62799e-08;0;0;37.0;37.3
09212021-00:19:33;-0.900000000;-0.900000649;-0.900001189;0.000000000;0.000000000;5.68454e-08;7.69494e-08;0;0;37.0;37.3
09212021-00:19:55;-0.800000000;-0.800000519;-0.800001184;0.000000000;0.000000000;9.71834e-08;8.49036e-08;0;0;37.0;37.3
09212021-00:20:17;-0.700000000;-0.700000066;-0.700000798;0.000000000;0.000000000;7.82563e-08;5.48776e-08;0;0;37.0;37.3
09212021-00:20:38;-0.600000000;-0.600000305;-0.600000852;0.000000000;0.000000000;4.1625e-08;1.744e-07;0;0;37.0;37.3
09212021-00:21:00;-0.500000000;-0.500000234;-0.500000803;0.000000000;0.000000000;8.00862e-08;1.21518e-07;0;0;37.0;37.3
09212021-00:21:21;-0.400000000;-0.400000326;-0.400000841;0.000000000;0.000000000;6.83855e-08;5.48331e-08;0;0;37.0;37.3
09212021-00:21:43;-0.300000000;-0.299999946;-0.300000367;0.000000000;0.000000000;8.41808e-08;1.21518e-07;0;0;37.0;37.3
09212021-00:22:05;-0.200000000;-0.199999935;-0.200000230;0.000000000;0.000000000;5.93476e-08;4.78467e-08;0;0;37.0;37.3
09212021-00:22:26;-0.100000000;-0.099999894;-0.100000225;0.000000000;0.000000000;6.0135e-08;1.04326e-07;0;0;37.0;37.3
09212021-00:22:48;0.000000000;0.000000648;0.000000484;0.000000000;0.000000000;1.20267e-08;5.21766e-08;0;0;37.0;37.3
09212021-00:23:10;0.100000000;0.100000792;0.100000782;0.000000000;0.000000000;1.52287e-07;1.22289e-07;0;0;37.0;37.3
09212021-00:23:31;0.200000000;0.200000789;0.200000333;0.000000000;0.000000000;9.84492e-08;8.63022e-08;0;0;37.0;37.3
09212021-00:23:53;0.300000000;0.300000712;0.300000396;0.000000000;0.000000000;5.24113e-08;1.56229e-07;0;0;37.0;37.3
09212021-00:24:14;0.400000000;0.400001166;0.400000841;0.000000000;0.000000000;5.55315e-08;9.67288e-08;0;0;37.0;37.3
09212021-00:24:36;0.500000000;0.500000971;0.500000670;0.000000000;0.000000000;1.36747e-07;2.61251e-07;0;0;37.0;37.3
09212021-00:24:58;0.600000000;0.600000806;0.600000265;0.000000000;0.000000000;4.22754e-08;6.80792e-08;0;0;37.0;37.3
09212021-00:25:19;0.700000000;0.700000950;0.700000314;0.000000000;0.000000000;5.51271e-08;3.01245e-08;0;0;37.0;37.3
09212021-00:25:41;0.800000000;0.800001035;0.800000525;0.000000000;0.000000000;5.4246e-08;5.39985e-08;0;0;37.0;37.3
09212021-00:26:03;0.900000000;0.900000767;0.900000339;0.000000000;0.000000000;1.23433e-07;9.06478e-08;0;0;37.0;37.3
09212021-00:26:24;1.000000000;1.000000587;1.000000198;0.000000000;0.000000000;5.53233e-08;2.27536e-07;0;0;37.0;37.3
09212021-00:26:46;1.100000000;1.100000319;1.100000129;0.000000000;0.000000000;1.09451e-07;9.66379e-08;0;0;37.0;37.3
09212021-00:27:08;1.200000000;1.200000227;1.199999915;0.000000000;0.000000000;1.21541e-07;8.61665e-08;0;0;37.0;37.3
09212021-00:27:29;1.300000000;1.300000754;1.300000257;0.000000000;0.000000000;1.26981e-07;1.53924e-07;0;0;37.0;37.3
09212021-00:27:51;1.400000000;1.400000456;1.400000262;0.000000000;0.000000000;1.59806e-07;4.21979e-08;0;0;37.0;37.3
09212021-00:28:13;1.500000000;1.500000438;1.500000208;0.000000000;0.000000000;6.62437e-08;1.0036e-07;0;0;37.0;37.3
09212021-00:28:34;1.600000000;1.600000244;1.599999876;0.000000000;0.000000000;1.09076e-07;6.5774e-08;0;0;37.0;37.3
09212021-00:28:56;1.700000000;1.700000520;1.700000263;0.000000000;0.000000000;9.08674e-08;1.83545e-08;0;0;37.0;37.3
09212021-00:29:18;1.800000000;1.800000149;1.799999945;0.000000000;0.000000000;1.47875e-07;8.48384e-08;0;0;37.0;37.3
09212021-00:29:39;1.900000000;1.900000057;1.899999936;0.000000000;0.000000000;6.62437e-08;7.98721e-08;0;0;37.0;37.3
09212021-00:30:01;2.000000000;1.999999774;1.999999823;0.000000000;0.000000000;2.77059e-07;2.73415e-08;0;0;37.0;37.3
09212021-00:30:23;2.100000000;2.100000169;2.100000048;0.000000000;0.000000000;1.02467e-07;1.18415e-08;0;0;37.0;37.3
09212021-00:30:44;2.200000000;2.199999901;2.199999980;0.000000000;0.000000000;9.66057e-08;7.98513e-08;0;0;37.0;37.3
09212021-00:31:06;2.300000000;2.299999765;2.299999795;0.000000000;0.000000000;6.08331e-08;9.50509e-08;0;0;37.0;37.3
09212021-00:31:28;2.400000000;2.399999629;2.399999507;0.000000000;0.000000000;1.63795e-07;1.82635e-08;0;0;37.0;37.3
09212021-00:31:49;2.500000000;2.500000024;2.499999878;0.000000000;0.000000000;6.70191e-08;8.98752e-08;0;0;37.0;37.3
09212021-00:32:11;2.600000000;2.599999711;2.599999810;0.000000000;0.000000000;5.94774e-08;9.75944e-08;0;0;37.0;37.3
09212021-00:32:32;2.700000000;2.699999605;2.699999698;0.000000000;0.000000000;1.10557e-07;6.5823e-08;0;0;37.0;37.3
09212021-00:32:54;2.800000000;2.799999528;2.799999674;0.000000000;0.000000000;7.07107e-09;3.66151e-08;0;0;37.0;37.3
09212021-00:33:16;2.900000000;2.899999348;2.899999459;0.000000000;0.000000000;4.85547e-08;1.19812e-07;0;0;37.0;37.3
09212021-00:33:37;3.000000000;2.999999860;2.999999728;0.000000000;0.000000000;5.24489e-08;7.47856e-08;0;0;37.0;37.3
09212021-00:33:59;3.100000000;3.099999710;3.099999630;0.000000000;0.000000000;4.86895e-08;3.14784e-08;0;0;37.0;37.3
09212021-00:34:20;3.200000000;3.199999353;3.199999371;0.000000000;0.000000000;1.15951e-07;7.28209e-08;0;0;37.0;37.3
09212021-00:34:42;3.300000000;3.299999173;3.299999303;0.000000000;0.000000000;1.62113e-07;7.96674e-08;0;0;37.0;37.3
09212021-00:35:04;3.400000000;3.399999406;3.399999484;0.000000000;0.000000000;7.80555e-08;1.09755e-07;0;0;37.0;37.3
09212021-00:35:25;3.500000000;3.499999403;3.499999445;0.000000000;0.000000000;3.16333e-08;1.00572e-07;0;0;37.0;37.3
09212021-00:35:47;3.600000000;3.599999252;3.599999274;0.000000000;0.000000000;3.00111e-08;7.18517e-08;0;0;37.0;37.3
09212021-00:36:08;3.700000000;3.699999028;3.699999074;0.000000000;0.000000000;2.40878e-08;3.86092e-08;0;0;37.0;37.3
09212021-00:36:30;3.800000000;3.799999216;3.799999417;0.000000000;0.000000000;1.61829e-07;1.29532e-07;0;0;37.0;37.3
09212021-00:36:52;3.900000000;3.899999213;3.899999260;0.000000000;0.000000000;9.34321e-08;5.40206e-08;0;0;37.0;37.3
09212021-00:37:14;4.000000000;3.999999033;3.999999353;0.000000000;0.000000000;1.62813e-07;1.52488e-07;0;0;37.0;37.3
09212021-00:37:35;4.100000000;4.099999133;4.099999329;0.000000000;0.000000000;8.66192e-08;2.40878e-08;0;0;37.0;37.3
09212021-00:37:57;4.200000000;4.199998732;4.199999481;0.000000000;0.000000000;2.0296e-07;5.66412e-08;0;0;37.0;37.3
09212021-00:38:19;4.300000000;4.299999024;4.299999310;0.000000000;0.000000000;7.31407e-08;6.60454e-08;0;0;37.0;37.3
09212021-00:38:40;4.400000000;4.399998667;4.399999257;0.000000000;0.000000000;1.18955e-07;3.03901e-08;0;0;37.0;37.3
09212021-00:39:02;4.500000000;4.499998457;4.499999086;0.000000000;0.000000000;1.26992e-07;6.65048e-08;0;0;37.0;37.3
09212021-00:39:24;4.600000000;4.599998955;4.599999604;0.000000000;0.000000000;1.68373e-07;1.33477e-07;0;0;37.0;37.3
09212021-00:39:45;4.700000000;4.699998702;4.699999360;0.000000000;0.000000000;4.21611e-08;6.00222e-08;0;0;37.0;37.3
09212021-00:40:07;4.800000000;4.799998448;4.799999248;0.000000000;0.000000000;4.97483e-08;5.48776e-08;0;0;37.0;37.3
09212021-00:40:29;4.900000000;4.899998268;4.899999077;0.000000000;0.000000000;3.00111e-08;1.68365e-07;0;0;37.0;37.3
09212021-00:40:51;5.000000000;4.999998235;4.999998745;0.000000000;0.000000000;6.0013e-08;3.6527e-08;0;0;37.0;37.3
09212021-00:41:12;5.100000000;5.099998468;5.099999072;0.000000000;0.000000000;1.63416e-07;4.97483e-08;0;0;37.0;37.3
09212021-00:41:34;5.200000000;5.199998258;5.199999121;0.000000000;0.000000000;1.64322e-07;1.5847e-07;0;0;37.0;37.3
09212021-00:41:55;5.300000000;5.299998108;5.299998907;0.000000000;0.000000000;7.25825e-08;8.4041e-08;0;0;37.0;37.3
09212021-00:42:17;5.400000000;5.399997781;5.399998618;0.000000000;0.000000000;1.8645e-07;7.94019e-08;0;0;37.0;37.3
09212021-00:42:39;5.500000000;5.499997881;5.499999005;0.000000000;0.000000000;9.78786e-08;1.27878e-07;0;0;37.0;37.3
09212021-00:43:00;5.600000000;5.599998040;5.599998849;0.000000000;0.000000000;1.15633e-07;1.07161e-07;0;0;37.0;37.3
09212021-00:43:22;5.700000000;5.699998022;5.699998780;0.000000000;0.000000000;4.25859e-08;1.07979e-07;0;0;37.0;37.3
09212021-00:43:43;5.800000000;5.799998004;5.799998478;0.000000000;0.000000000;7.35859e-08;1.08701e-07;0;0;37.0;37.3
09212021-00:44:05;5.900000000;5.899998339;5.899998732;0.000000000;0.000000000;9.1047e-08;7.07107e-09;0;0;37.0;37.3
09212021-00:44:27;6.000000000;5.999997997;5.999998429;0.000000000;0.000000000;1.35165e-07;7.80555e-08;0;0;37.0;37.3
09212021-00:44:48;6.100000000;6.099997979;6.099998551;0.000000000;0.000000000;9.18489e-08;6.34192e-08;0;0;37.0;37.3
09212021-00:45:10;6.200000000;6.199997446;6.199998058;0.000000000;0.000000000;1.05307e-07;1.77218e-07;0;0;37.0;37.3
09212021-00:45:31;6.300000000;6.299998165;6.299998840;0.000000000;0.000000000;1.09271e-07;3.03901e-08;0;0;37.0;37.3
09212021-00:45:53;6.400000000;6.399997719;6.399998464;0.000000000;0.000000000;1.29873e-07;8.39696e-08;0;0;37.0;37.3
09212021-00:46:15;6.500000000;6.499997643;6.499998411;0.000000000;0.000000000;6.34192e-08;9.81054e-08;0;0;37.0;37.3
09212021-00:46:37;6.600000000;6.599997433;6.599998035;0.000000000;0.000000000;1.50272e-07;9.29767e-08;0;0;37.0;37.3
09212021-00:46:58;6.700000000;6.699997371;6.699997864;0.000000000;0.000000000;1.02003e-07;1.2107e-07;0;0;37.0;37.4
09212021-00:47:20;6.800000000;6.799997839;6.799998309;0.000000000;0.000000000;1.20433e-07;6.88251e-08;0;0;37.0;37.4
09212021-00:47:42;6.900000000;6.899997615;6.899997947;0.000000000;0.000000000;1.08402e-07;4.77656e-08;0;0;37.0;37.4
