time,3458B_volt
1721674199.1353607,-1.131786399e-05
1721674207.1758587,-1.127388266e-05
1721674215.2162127,-1.105397597e-05
1721674223.2566981,-1.124456176e-05
1721674231.297334,-1.122990132e-05
1721674239.3379214,-1.115659909e-05
1721674247.3786478,-1.117125954e-05
1721674255.4188635,-1.118591998e-05
1721674263.459578,-1.125922221e-05
1721674271.5002136,-1.121524087e-05
1721674279.5407853,-1.108329686e-05
1721674287.5813825,-1.124456176e-05
1721674295.6219435,-1.121524087e-05
1721674303.6625586,-1.109795731e-05
1721674311.7030025,-1.117125954e-05
1721674319.743366,-1.120058043e-05
1721674327.7840743,-1.114193865e-05
1721674335.8244638,-1.11272782e-05
1721674343.8646758,-1.120058043e-05
1721674351.9051456,-1.117125954e-05
1721674359.9457312,-1.11272782e-05
1721674367.9862669,-1.117125954e-05
1721674376.0268433,-1.124456176e-05
1721674384.0675442,-1.133252444e-05
1721674392.1080294,-1.127388266e-05
1721674400.1485395,-1.115659909e-05
1721674408.1889915,-1.120058043e-05
1721674416.229374,-1.118591998e-05
1721674424.2701402,-1.125922221e-05
1721674432.3106616,-1.131786399e-05
1721674440.3509388,-1.120058043e-05
1721674448.3913023,-1.106863642e-05
1721674456.4319623,-1.120058043e-05
1721674464.472268,-1.118591998e-05
1721674472.5127943,-1.124456176e-05
1721674480.5533838,-1.131786399e-05
1721674488.5938046,-1.108329686e-05
1721674496.6341112,-1.122990132e-05
1721674504.6744988,-1.120058043e-05
1721674512.7150936,-1.111261775e-05
1721674520.7557173,-1.117125954e-05
1721674528.7961004,-1.12885431e-05
1721674536.836603,-1.111261775e-05
1721674544.8773305,-1.12885431e-05
1721674552.9176817,-1.130320355e-05
1721674560.9583118,-1.114193865e-05
1721674568.9987156,-1.130320355e-05
1721674577.0390768,-1.130320355e-05
1721674585.0796216,-1.127388266e-05
1721674593.1199594,-1.130320355e-05
1721674601.160469,-1.12885431e-05
1721674609.200818,-1.130320355e-05
1721674617.241246,-1.120058043e-05
1721674625.2817373,-1.134718488e-05
1721674633.3224206,-1.139116622e-05
1721674641.3630278,-1.124456176e-05
1721674649.4034011,-1.122990132e-05
1721674657.443839,-1.12885431e-05
1721674665.4844167,-1.130320355e-05
1721674673.524877,-1.115659909e-05
1721674681.5654433,-1.111261775e-05
1721674689.6061287,-1.121524087e-05
1721674697.6466806,-1.137650577e-05
1721674705.6872747,-1.114193865e-05
1721674713.727876,-1.122990132e-05
1721674721.7685084,-1.12885431e-05
1721674729.809013,-1.122990132e-05
1721674737.8495939,-1.125922221e-05
1721674745.8900456,-1.137650577e-05
1721674753.9306595,-1.122990132e-05
1721674761.9709654,-1.142048711e-05
1721674770.0112865,-1.121524087e-05
1721674778.0517356,-1.11272782e-05
1721674786.0921807,-1.122990132e-05
1721674794.1328368,-1.12885431e-05
1721674802.1733663,-1.143514756e-05
1721674810.2139423,-1.124456176e-05
1721674818.254648,-1.125922221e-05
1721674826.294802,-1.142048711e-05
1721674834.3354733,-1.12885431e-05
1721674842.3762243,-1.133252444e-05
1721674850.4165716,-1.118591998e-05
1721674858.456921,-1.118591998e-05
1721674866.4974542,-1.134718488e-05
1721674874.537913,-1.130320355e-05
1721674882.578297,-1.130320355e-05
1721674890.6186998,-1.127388266e-05
1721674898.6591916,-1.134718488e-05
1721674906.6997864,-1.109795731e-05
1721674914.7402582,-1.114193865e-05
1721674922.7805977,-1.122990132e-05
1721674930.8209887,-1.121524087e-05
1721674938.8611226,-1.120058043e-05
1721674946.9013615,-1.118591998e-05
1721674954.9418194,-1.136184533e-05
1721674962.9822114,-1.121524087e-05
1721674971.0226758,-1.130320355e-05
1721674979.063327,-1.12885431e-05
1721674987.103773,-1.131786399e-05
1721674995.144299,-1.125922221e-05
1721675003.1849432,-1.117125954e-05
1721675011.2255063,-1.125922221e-05
1721675019.2660532,-1.122990132e-05
1721675027.3065505,-1.136184533e-05
1721675035.3470259,-1.136184533e-05
1721675043.3875864,-1.133252444e-05
1721675051.4282315,-1.134718488e-05
1721675059.4686675,-1.122990132e-05
1721675067.5090427,-1.127388266e-05
1721675075.5495849,-1.127388266e-05
1721675083.5901797,-1.11272782e-05
1721675091.6305552,-1.125922221e-05
1721675099.6708539,-1.120058043e-05
1721675107.711575,-1.121524087e-05
1721675115.7519917,-1.124456176e-05
1721675123.7925863,-1.136184533e-05
1721675131.833354,-1.12885431e-05
1721675139.8738978,-1.11272782e-05
1721675147.9142647,-1.121524087e-05
1721675155.9545343,-1.120058043e-05
1721675163.9952438,-1.133252444e-05
1721675172.0358133,-1.117125954e-05
1721675180.076179,-1.122990132e-05
1721675188.1167147,-1.124456176e-05
1721675196.157231,-1.133252444e-05
1721675204.197714,-1.127388266e-05
1721675212.2382457,-1.125922221e-05
1721675220.2786171,-1.121524087e-05
1721675228.3192155,-1.11272782e-05
1721675236.359754,-1.127388266e-05
1721675244.4004812,-1.124456176e-05
1721675252.4408033,-1.137650577e-05
1721675260.481456,-1.114193865e-05
1721675268.5218747,-1.106863642e-05
1721675276.5624683,-1.125922221e-05
1721675284.6032617,-1.127388266e-05
1721675292.6436007,-1.120058043e-05
1721675300.6841955,-1.114193865e-05
1721675308.7244828,-1.120058043e-05
1721675316.764797,-1.118591998e-05
1721675324.8050447,-1.118591998e-05
1721675332.8453457,-1.120058043e-05
1721675340.8858685,-1.127388266e-05
1721675348.9263954,-1.117125954e-05
1721675356.9668689,-1.114193865e-05
1721675365.0073254,-1.137650577e-05
1721675373.0475662,-1.118591998e-05
1721675381.088119,-1.114193865e-05
1721675389.1286104,-1.127388266e-05
1721675397.169199,-1.122990132e-05
1721675405.209379,-1.118591998e-05
1721675413.2499995,-1.127388266e-05
1721675421.2905777,-1.124456176e-05
1721675429.3312411,-1.133252444e-05
1721675437.371637,-1.130320355e-05
1721675445.4123015,-1.117125954e-05
1721675453.4529638,-1.125922221e-05
1721675461.4933882,-1.137650577e-05
1721675469.5339649,-1.124456176e-05
1721675477.5744574,-1.124456176e-05
1721675485.6149163,-1.124456176e-05
1721675493.6552618,-1.131786399e-05
1721675501.695757,-1.125922221e-05
1721675509.7363846,-1.12885431e-05
1721675517.7767253,-1.122990132e-05
1721675525.8170643,-1.130320355e-05
1721675533.8575592,-1.124456176e-05
1721675541.8981583,-1.139116622e-05
1721675549.93843,-1.120058043e-05
1721675557.9789913,-1.117125954e-05
1721675566.0195804,-1.143514756e-05
1721675574.0602658,-1.133252444e-05
1721675582.1007206,-1.127388266e-05
1721675590.1415546,-1.134718488e-05
1721675598.182153,-1.136184533e-05
1721675606.2228537,-1.12885431e-05
1721675614.263326,-1.12885431e-05
1721675622.3043504,-1.125922221e-05
1721675630.3445475,-1.130320355e-05
1721675638.3850713,-1.12885431e-05
1721675646.4256082,-1.124456176e-05
1721675654.4661374,-1.125922221e-05
1721675662.5067422,-1.140582667e-05
1721675670.5472784,-1.12885431e-05
1721675678.587745,-1.136184533e-05
1721675686.6281738,-1.140582667e-05
1721675694.6688514,-1.125922221e-05
1721675702.7093801,-1.143514756e-05
1721675710.7499373,-1.139116622e-05
1721675718.7904086,-1.131786399e-05
1721675726.8309734,-1.146446845e-05
1721675734.8715076,-1.134718488e-05
1721675742.912111,-1.136184533e-05
1721675750.9527977,-1.136184533e-05
1721675758.993453,-1.143514756e-05
1721675767.034133,-1.139116622e-05
1721675775.0748212,-1.137650577e-05
1721675783.1154227,-1.136184533e-05
1721675791.155586,-1.118591998e-05
1721675799.1961675,-1.133252444e-05
1721675807.2365413,-1.122990132e-05
1721675815.277007,-1.137650577e-05
1721675823.3176882,-1.137650577e-05
1721675831.358165,-1.131786399e-05
1721675839.3985782,-1.143514756e-05
1721675847.439113,-1.12885431e-05
1721675855.4798124,-1.127388266e-05
1721675863.520016,-1.130320355e-05
1721675871.5603504,-1.121524087e-05
1721675879.600858,-1.140582667e-05
1721675887.6416218,-1.125922221e-05
1721675895.6819901,-1.121524087e-05
1721675903.7222662,-1.118591998e-05
1721675911.7629416,-1.12885431e-05
1721675919.8035402,-1.124456176e-05
1721675927.844166,-1.12885431e-05
1721675935.8846939,-1.114193865e-05
1721675943.9252229,-1.136184533e-05
1721675951.965926,-1.12885431e-05
1721675960.0063133,-1.122990132e-05
1721675968.0469115,-1.12885431e-05
1721675976.0873516,-1.124456176e-05
1721675984.1276314,-1.130320355e-05
1721675992.1680503,-1.133252444e-05
1721676000.208319,-1.131786399e-05
1721676008.2492096,-1.124456176e-05
1721676016.2895958,-1.117125954e-05
1721676024.329987,-1.125922221e-05
1721676032.3704073,-1.130320355e-05
1721676040.4110107,-1.106863642e-05
1721676048.4514565,-1.130320355e-05
1721676056.4919248,-1.11272782e-05
1721676064.532383,-1.130320355e-05
1721676072.5729687,-1.125922221e-05
1721676080.6133015,-1.105397597e-05
1721676088.6536524,-1.124456176e-05
1721676096.693983,-1.131786399e-05
1721676104.7344933,-1.125922221e-05
1721676112.775153,-1.133252444e-05
1721676120.815719,-1.117125954e-05
1721676128.8563054,-1.12885431e-05
1721676136.8966749,-1.127388266e-05
1721676144.9373004,-1.114193865e-05
