vref,hpm1_counts,hpm2_counts
-8.0,964544061.5,963363431.6814
-8.0,964544063.0525,963363452.0184
-8.0,964544071.7826,963363401.5644
-8.0,964544006.8657,963363399.6516
-8.0,964544099.0248,963363476.7964
-8.0,964544079.9843,963363451.4764
-8.0,964544071.2094,963363469.762
-8.0,964544083.4686,963363466.4163
-8.0,964544105.1979,963363466.4609
-8.0,964544079.2844,963363453.7011
-8.0,964544023.0274,963363449.657
-8.0,964544010.2731,963363488.7753
-8.0,964543995.3683,963363424.0183
-8.0,964544054.4615,963363478.5833
-8.0,964543997.1169,963363397.571
-8.0,964544003.9944,963363456.0902
-8.0,964544092.562,963363520.8127
-8.0,964544114.9572,963363545.4568
-8.0,964544089.7033,963363502.0982
-8.0,964544048.5812,963363476.9843
-8.0,964544088.3688,963363425.99
-8.0,964544047.3502,963363426.4159
-8.0,964544077.1233,963363460.1869
-8.0,964544029.2038,963363476.8878
-8.0,964544026.8862,963363520.7645
-8.0,964544070.2999,963363510.2538
-8.0,964544051.1118,963363482.8432
-8.0,964544125.3968,963363487.4809
-8.0,964544121.7142,963363506.9916
-8.0,964544047.6161,963363477.9176
-8.0,964544097.0966,963363469.5887
-8.0,964544007.7354,963363527.7801
-8.0,964544055.3824,963363483.7363
-8.0,964544058.4702,963363483.8866
-8.0,964544044.6133,963363482.2587
-8.0,964544047.3379,963363479.3893
-8.0,964544034.7884,963363478.4956
-8.0,964544076.8567,963363468.3399
-8.0,964544040.7608,963363457.4085
-8.0,964544107.4778,963363473.1775
-8.0,964544088.1707,963363474.1583
-8.0,964544106.3263,963363465.4813
-8.0,964544081.6426,963363468.8847
-8.0,964544110.7278,963363488.3126
-8.0,964544071.4751,963363478.2921
-8.0,964544055.838,963363474.6581
-8.0,964544083.9806,963363443.2777
-8.0,964544093.8072,963363551.2917
-8.0,964544035.0389,963363485.8052
-8.0,964544092.891,963363466.6048
-8.0,964544107.7109,963363504.8601
-8.0,964544122.2971,963363436.355
-8.0,964544109.0452,963363453.8171
-8.0,964544088.8497,963363455.953
-7.5,1038475809.4949,1037367638.5085
-7.5,1038475798.7384,1037367657.2383
-7.5,1038475811.8655,1037367617.3728
-7.5,1038475838.6617,1037367603.7154
-7.5,1038475826.2527,1037367612.285
-7.5,1038475810.9088,1037367657.8881
-7.5,1038475830.7929,1037367653.4984
-7.5,1038475808.228,1037367656.1665
-7.5,1038475887.6233,1037367662.6146
-7.5,1038475746.203,1037367600.7579
-7.5,1038475774.4994,1037367639.5129
-7.5,1038475771.0296,1037367650.9609
-7.5,1038475750.6214,1037367620.5847
-7.5,1038475774.8418,1037367631.859
-7.5,1038475809.1756,1037367629.4362
-7.5,1038475822.8492,1037367583.9006
-7.5,1038475792.7191,1037367598.2713
-7.5,1038475753.7737,1037367620.2887
-7.5,1038475758.1308,1037367638.2661
-7.5,1038475810.3296,1037367648.3902
-7.5,1038475793.7238,1037367651.2522
-7.5,1038475791.7495,1037367633.1757
-7.5,1038475859.1387,1037367633.4346
-7.5,1038475823.8166,1037367611.5935
-7.5,1038475847.2707,1037367608.8204
-7.5,1038475811.2375,1037367598.972
-7.5,1038475776.2536,1037367549.3082
-7.5,1038475797.7195,1037367646.7048
-7.5,1038475842.675,1037367625.9888
-7.5,1038475809.28,1037367578.1736
-7.5,1038475811.8951,1037367630.5528
-7.5,1038475790.6978,1037367613.0608
-7.5,1038475804.3129,1037367638.9872
-7.5,1038475825.1456,1037367617.8099
-7.5,1038475738.7352,1037367613.0491
-7.5,1038475799.3925,1037367584.925
-7.5,1038475771.9282,1037367570.0872
-7.5,1038475817.1272,1037367622.1036
-7.5,1038475784.5787,1037367602.5224
-7.5,1038475806.1453,1037367670.9016
-7.5,1038475787.0727,1037367603.603
-7.5,1038475792.519,1037367664.7595
-7.5,1038475797.7311,1037367604.1317
-7.5,1038475802.517,1037367688.0964
-7.5,1038475806.73,1037367658.3557
-7.5,1038475769.3865,1037367670.0076
-7.5,1038475829.8197,1037367674.6724
-7.5,1038475804.6983,1037367733.0994
-7.5,1038475866.7413,1037367697.0602
-7.5,1038475798.1899,1037367673.0588
-7.5,1038475785.6715,1037367696.9797
-7.5,1038475771.9368,1037367623.93
-7.5,1038475804.8891,1037367650.4005
-7.5,1038475815.5372,1037367641.5054
-7.5,1038475868.2379,1037367697.5231
-7.5,1038475838.7676,1037367677.9022
-7.5,1038475760.861,1037367612.8821
-7.5,1038475750.8983,1037367664.495
-7.5,1038475768.0985,1037367591.4867
-7.5,1038475836.8775,1037367666.4605
-7.5,1038475760.8572,1037367655.4337
-7.5,1038475843.2322,1037367650.2274
-7.5,1038475845.1595,1037367667.9699
-7.5,1038475819.1379,1037367636.4139
-7.5,1038475856.4257,1037367640.0499
-7.5,1038475839.1002,1037367657.6722
-7.5,1038475794.7601,1037367606.3561
-7.5,1038475783.1631,1037367651.5814
-7.5,1038475862.687,1037367637.2262
-7.5,1038475790.5596,1037367636.2534
-7.5,1038475806.7934,1037367630.1036
-7.5,1038475848.3018,1037367637.1077
-7.5,1038475805.3036,1037367647.1413
-7.5,1038475827.3716,1037367639.1256
-7.5,1038475780.3937,1037367659.8443
-7.5,1038475815.0577,1037367636.6492
-7.5,1038475782.9979,1037367643.9916
-7.5,1038475786.8375,1037367622.7178
-7.5,1038475791.6095,1037367672.5604
-7.5,1038475794.2813,1037367650.3906
-7.5,1038475817.3555,1037367694.513
-7.5,1038475832.1715,1037367724.2667
-7.5,1038475856.4238,1037367726.0398
-7.5,1038475786.9756,1037367707.2305
-7.5,1038475790.3956,1037367673.0602
-7.5,1038475728.7574,1037367663.7255
-7.5,1038475822.8182,1037367693.7407
-7.5,1038475735.2973,1037367683.1999
-7.5,1038475714.0307,1037367681.881
-7.5,1038475746.6837,1037367675.8731
-7.5,1038475734.3279,1037367656.9927
-7.5,1038475788.8535,1037367652.5402
-7.5,1038475802.4883,1037367619.5217
-7.5,1038475814.0626,1037367631.8208
-7.5,1038475835.0075,1037367711.4157
-7.5,1038475834.1918,1037367690.31
-7.5,1038475769.0463,1037367673.7072
-7.5,1038475833.2334,1037367675.027
-7.5,1038475797.9579,1037367658.8069
-7.5,1038475801.7613,1037367654.5224
-7.0,1112407370.1574,1111371824.7574
-7.0,1112407381.0426,1111371858.0244
-7.0,1112407483.9836,1111371823.3869
-7.0,1112407457.345,1111371870.8676
-7.0,1112407445.4513,1111371899.0695
-7.0,1112407419.4985,1111371872.0443
-7.0,1112407430.2545,1111371824.8
-7.0,1112407423.2381,1111371849.639
-7.0,1112407430.9348,1111371848.6411
-7.0,1112407403.165,1111371873.3955
-7.0,1112407414.4953,1111371833.328
-7.0,1112407471.989,1111371886.404
-7.0,1112407468.181,1111371888.9248
-7.0,1112407407.3794,1111371866.8707
-7.0,1112407436.6374,1111371907.2856
-7.0,1112407408.5556,1111371864.6795
-7.0,1112407383.6445,1111371863.5501
-7.0,1112407382.8015,1111371828.244
-7.0,1112407424.4111,1111371853.588
-7.0,1112407404.6368,1111371872.5033
-7.0,1112407421.2924,1111371851.2642
-7.0,1112407454.6826,1111371883.883
-7.0,1112407434.6259,1111371866.8172
-7.0,1112407438.1325,1111371851.046
-7.0,1112407437.184,1111371892.3888
-7.0,1112407436.4782,1111371825.9913
-7.0,1112407479.4351,1111371907.8218
-7.0,1112407458.6749,1111371820.8084
-7.0,1112407445.2231,1111371836.5796
-7.0,1112407481.8711,1111371834.696
-7.0,1112407465.6632,1111371854.4816
-7.0,1112407445.7246,1111371779.1018
-7.0,1112407485.5852,1111371866.9564
-7.0,1112407460.6678,1111371917.0255
-7.0,1112407431.9824,1111371892.5811
-7.0,1112407455.5722,1111371900.5117
-7.0,1112407497.54,1111371918.374
-7.0,1112407412.515,1111371876.2392
-7.0,1112407402.0852,1111371867.3373
-7.0,1112407434.6313,1111371857.3877
-7.0,1112407460.2088,1111371905.515
-7.0,1112407449.3796,1111371821.9099
-7.0,1112407461.8251,1111371874.9695
-7.0,1112407436.0696,1111371801.3274
-7.0,1112407442.9211,1111371827.0424
-7.0,1112407457.9097,1111371822.3032
-7.0,1112407465.511,1111371913.8145
-7.0,1112407411.9131,1111371858.664
-7.0,1112407439.8874,1111371839.2724
-7.0,1112407452.3958,1111371841.7463
-7.0,1112407436.4541,1111371879.29
-7.0,1112407454.9231,1111371902.0373
-7.0,1112407480.0934,1111371858.721
-7.0,1112407452.4527,1111371875.0322
-7.0,1112407438.8709,1111371858.7298
-7.0,1112407424.6303,1111371827.9937
-7.0,1112407422.9118,1111371822.1051
-7.0,1112407448.5729,1111371885.3566
-7.0,1112407428.2307,1111371907.2897
-7.0,1112407494.6088,1111371942.4814
-7.0,1112407468.1047,1111371865.9792
-7.0,1112407414.7809,1111371865.5729
-7.0,1112407413.5403,1111371864.114
-7.0,1112407411.6131,1111371927.3505
-7.0,1112407461.2859,1111371914.5724
-7.0,1112407469.8253,1111371896.9137
-7.0,1112407469.8952,1111371923.2451
-7.0,1112407403.9499,1111371948.2912
-7.0,1112407456.6326,1111371909.8974
-7.0,1112407437.1074,1111371895.8912
-7.0,1112407421.8603,1111371943.3059
-7.0,1112407455.075,1111371957.0468
-7.0,1112407369.497,1111371889.0158
-7.0,1112407418.4773,1111371925.1084
-7.0,1112407429.8783,1111371908.7362
-7.0,1112407433.5682,1111371909.348
-7.0,1112407433.836,1111371890.83
-7.0,1112407361.8129,1111371924.1155
-7.0,1112407383.6952,1111371927.2878
-7.0,1112407382.7423,1111371840.7778
-7.0,1112407413.5151,1111371950.6861
-7.0,1112407361.037,1111371940.288
-7.0,1112407437.214,1111371985.81
-7.0,1112407434.7196,1111371957.4766
-7.0,1112407382.4678,1111371889.9446
-7.0,1112407417.0968,1111371874.9925
-7.0,1112407346.6835,1111371881.4201
-7.0,1112407415.1329,1111371886.0361
-7.0,1112407412.5175,1111371889.1579
-7.0,1112407449.1354,1111371868.3716
-7.0,1112407458.2311,1111371924.6698
-7.0,1112407445.9324,1111371898.2756
-7.0,1112407423.5879,1111371856.4153
-7.0,1112407451.8583,1111371869.5716
-7.0,1112407407.6214,1111371917.2199
