# INL run# soak = 5# samples_per_meter_per_step = 5# NPLC = 100dac_counts,3458A_volt,3458B_volt,ambient_temp
86016,-8.697129971,-8.697179337,21.7982203952095
86016,-8.697130443,-8.697179455,21.81884070770466
86016,-8.697130104,-8.697178487,21.808530550875002
86016,-8.69712975,-8.697178399,21.79306531781331
87040,-8.676809361,-8.676858347,21.7982203952095
87040,-8.676809449,-8.676858039,21.79306531781331
87040,-8.676809553,-8.676858317,21.78791024070815
87040,-8.67680995,-8.676858127,21.772445011138917
87040,-8.67680942,-8.676858009,21.782755163894034
88064,-8.656489752,-8.656538426,21.767289935197915
88064,-8.656489664,-8.656538367,21.767289935197915
88064,-8.656489546,-8.656538279,21.777600087370956
88064,-8.656489502,-8.656537766,21.78791024070815
88064,-8.65648931,-8.656537913,21.772445011138917
89088,-8.636169569,-8.636218681,21.777600087370956
89088,-8.636169392,-8.63621874,21.777600087370956
89088,-8.636169952,-8.636218271,21.767289935197915
89088,-8.636169245,-8.63621808,21.767289935197915
89088,-8.63616923,-8.636218315,21.772445011138917
90112,-8.615848532,-8.615897339,21.772445011138917
90112,-8.615848222,-8.615897427,21.76213485954795
90112,-8.615848664,-8.615897383,21.76213485954795
90112,-8.615848266,-8.615897896,21.76213485954795
90112,-8.615848576,-8.615897764,21.76213485954795
91136,-8.595529232,-8.595578327,21.76213485954795
91136,-8.595529159,-8.595578034,21.76213485954795
91136,-8.595529497,-8.595578019,21.772445011138917
91136,-8.595529615,-8.595578034,21.772445011138917
91136,-8.595529321,-8.595578063,21.756979784189024
92160,-8.57520874,-8.575257952,21.756979784189024
92160,-8.575208769,-8.575257937,21.76213485954795
92160,-8.57520843,-8.575257893,21.76213485954795
92160,-8.575208578,-8.575257937,21.767289935197915
92160,-8.575208975,-8.575258172,21.767289935197915
93184,-8.554890413,-8.554939087,21.76213485954795
93184,-8.554890339,-8.55493916,21.756979784189024
93184,-8.554890192,-8.554938647,21.756979784189024
93184,-8.554889853,-8.554938911,21.751824709121138
93184,-8.554890044,-8.554939028,21.751824709121138
94208,-8.534572203,-8.534620852,21.74666963434429
94208,-8.534571629,-8.534620867,21.756979784189024
94208,-8.534571658,-8.534620779,21.751824709121138
94208,-8.53457185,-8.534620677,21.767289935197915
94208,-8.534571511,-8.534620647,21.772445011138917
95232,-8.514251593,-8.514300683,21.767289935197915
95232,-8.51425177,-8.514300551,21.777600087370956
95232,-8.514251431,-8.514300126,21.76213485954795
95232,-8.514251563,-8.514300331,21.756979784189024
95232,-8.514251784,-8.514300653,21.756979784189024
96256,-8.49393278,-8.493981407,21.751824709121138
96256,-8.493932676,-8.493981671,21.756979784189024
96256,-8.493932647,-8.493981143,21.751824709121138
96256,-8.493932883,-8.493981349,21.76213485954795
96256,-8.493932559,-8.493981598,21.76213485954795
97280,-8.473613569,-8.473662029,21.751824709121138
97280,-8.473613392,-8.473662586,21.756979784189024
97280,-8.47361351,-8.473662483,21.767289935197915
97280,-8.473613627,-8.47366241,21.751824709121138
97280,-8.473613156,-8.473662146,21.751824709121138
98304,-8.45329639,-8.453344586,21.751824709121138
98304,-8.453296435,-8.453344777,21.74151455985848
98304,-8.453296582,-8.453344747,21.74666963434429
98304,-8.453296464,-8.453344674,21.751824709121138
98304,-8.453296493,-8.453345055,21.751824709121138
99328,-8.432976664,-8.433024783,21.736359485663705
99328,-8.432976575,-8.43302468,21.736359485663705
99328,-8.432976649,-8.43302512,21.74666963434429
99328,-8.432976472,-8.433025208,21.74666963434429
99328,-8.432976384,-8.433024739,21.736359485663705
100352,-8.412654919,-8.412703572,21.736359485663705
100352,-8.412654831,-8.412703484,21.736359485663705
100352,-8.412654404,-8.412703381,21.731204411759972
100352,-8.412654359,-8.412703279,21.731204411759972
100352,-8.412654772,-8.412703367,21.72089426482562
101376,-8.392336268,-8.392384458,21.71058411905542
101376,-8.392337049,-8.392384487,21.715739191795002
101376,-8.392336003,-8.392384355,21.705429046606877
101376,-8.392336076,-8.392384209,21.705429046606877
101376,-8.392336194,-8.392384575,21.705429046606877
102400,-8.372018162,-8.372066692,21.68480875972309
102400,-8.372018132,-8.372066854,21.69511890258291
102400,-8.372018191,-8.372066502,21.69511890258291
102400,-8.372018589,-8.372067293,21.700273974449374
102400,-8.372019591,-8.372067381,21.68480875972309
103424,-8.351699422,-8.351747138,21.68480875972309
103424,-8.351698671,-8.351747138,21.674498618027428
103424,-8.3516987,-8.351747285,21.674498618027428
103424,-8.351698391,-8.351746112,21.67965368872974
103424,-8.351697772,-8.351746259,21.67965368872974
104448,-8.331378547,-8.331426763,21.67965368872974
104448,-8.331378679,-8.331427027,21.669343547616155
104448,-8.331378016,-8.331426895,21.674498618027428
104448,-8.33137837,-8.33142691,21.674498618027428
104448,-8.331378502,-8.33142669,21.669343547616155
105472,-8.311058982,-8.311107253,21.674498618027428
105472,-8.311059188,-8.311107297,21.669343547616155
105472,-8.311058953,-8.311107092,21.66418847749592
105472,-8.311059085,-8.311107561,21.65903340766672
105472,-8.311059291,-8.311107268,21.65903340766672
106496,-8.290741598,-8.290789532,21.643568199925358
106496,-8.290740905,-8.290789444,21.643568199925358
106496,-8.290740832,-8.290789312,21.633258062886306
106496,-8.290740802,-8.290789546,21.643568199925358
106496,-8.290741067,-8.290789605,21.638413131260315
107520,-8.270421149,-8.270469802,21.638413131260315
107520,-8.270421444,-8.270469787,21.62294792701141
107520,-8.270421282,-8.270469934,21.62810299480334
107520,-8.270421061,-8.270469948,21.643568199925358
107520,-8.270421061,-8.270469728,21.633258062886306
108544,-8.250101084,-8.250149471,21.61779285951052
108544,-8.250101261,-8.250149471,21.62294792701141
108544,-8.250101231,-8.250149119,21.612637792300667
108544,-8.250101113,-8.250149324,21.61779285951052
108544,-8.250101113,-8.250149031,21.612637792300667
109568,-8.229782403,-8.229830576,21.62294792701141
109568,-8.229782433,-8.229830312,21.62294792701141
109568,-8.229782285,-8.229830679,21.597172592417337
109568,-8.229782742,-8.229830767,21.61779285951052
109568,-8.229782934,-8.229830811,21.597172592417337
110592,-8.209464474,-8.209512635,21.586862460616977
110592,-8.209464106,-8.209512591,21.592017526371638
110592,-8.209464327,-8.209513236,21.586862460616977
110592,-8.209465313,-8.209513514,21.58170739515335
110592,-8.20946552,-8.209513456,21.586862460616977
111616,-8.189144924,-8.189192201,21.592017526371638
111616,-8.189143834,-8.189192157,21.592017526371638
111616,-8.189143981,-8.189192157,21.586862460616977
111616,-8.18914407,-8.189191923,21.586862460616977
111616,-8.189143805,-8.189191864,21.592017526371638
