time,W4950_volt
1693575409.528024,-0.0
1693575427.8492465,-0.0
1693575446.1698139,-1e-06
1693575464.4902108,-1e-06
1693575482.8103778,-1e-06
1693575501.131623,-1e-06
1693575519.4522812,-1e-06
1693575537.77229,-1e-06
1693575556.0924938,-0.0
1693575574.4128103,-0.0
1693575592.7335172,-1e-06
1693575611.05358,-0.0
1693575629.373398,-1e-06
1693575647.693829,-0.0
1693575666.0139155,-0.0
1693575684.3342922,-0.0
1693575702.6598878,0.0
1693575720.9800937,-0.0
1693575739.3003948,-0.0
1693575757.6212468,-0.0
1693575775.9408374,-1e-06
1693575794.2624483,-0.0
1693575812.583919,-0.0
1693575830.9048605,-0.0
1693575849.2260542,-0.0
1693575867.5466623,-0.0
1693575885.8679934,-0.0
1693575904.1893191,-1e-06
1693575922.510331,-1e-06
1693575940.8313348,-0.0
1693575959.151537,-0.0
1693575977.471541,-0.0
1693575995.791973,-0.0
1693576014.1119652,-0.0
1693576032.4320393,-0.0
1693576050.7531493,0.0
1693576069.0732393,-0.0
1693576087.39447,-0.0
1693576105.7156022,0.0
1693576124.0360634,-0.0
1693576142.3562806,-0.0
1693576160.676465,-0.0
1693576178.9966903,0.0
1693576197.3175294,-0.0
1693576215.6375437,-1e-06
1693576233.9575596,-0.0
1693576252.2787144,-0.0
1693576270.5996056,-0.0
1693576288.9198081,-0.0
1693576307.2397077,-0.0
1693576325.559929,-0.0
1693576343.879895,-0.0
1693576362.1999168,-1e-06
1693576380.5200596,-0.0
1693576398.8412411,-0.0
1693576417.1619787,-0.0
1693576435.4819975,-0.0
1693576453.8018663,-0.0
1693576472.1221309,-1e-06
1693576490.4419723,-0.0
1693576508.7620542,-0.0
1693576527.0825057,0.0
1693576545.402531,-0.0
1693576563.7222629,-0.0
1693576582.0425694,-0.0
1693576600.3631418,-1e-06
1693576618.6835852,-0.0
1693576637.0035126,-0.0
1693576655.3238227,-0.0
1693576673.6440403,-0.0
1693576691.965074,-1e-06
1693576710.2861934,-1e-06
1693576728.606887,-0.0
1693576746.9322855,0.0
1693576765.2533667,-0.0
1693576783.5735044,-1e-06
1693576801.8937547,-0.0
1693576820.2145596,-0.0
1693576838.5350795,-0.0
1693576856.8551776,-0.0
1693576875.1754818,-1e-06
1693576893.4964283,-0.0
1693576911.821954,0.0
1693576930.1428788,0.0
1693576948.4628646,-0.0
1693576966.7830956,0.0
1693576985.1032803,0.0
1693577003.4234324,-0.0
1693577021.7436552,0.0
1693577040.0647902,0.0
1693577058.3849015,0.0
1693577076.7060199,-0.0
1693577095.0261922,-0.0
1693577113.3462749,-1e-06
1693577131.6674623,-0.0
1693577149.9888177,-0.0
1693577168.3098094,-0.0
1693577186.6308212,-0.0
1693577204.9515975,-0.0
1693577223.2717888,0.0
1693577241.5922513,0.0
1693577259.9129477,-0.0
1693577278.2332711,-0.0
1693577296.5530207,0.0
1693577314.87415,0.0
1693577333.1949182,-0.0
1693577351.5159178,0.0
1693577369.8369575,0.0
1693577388.157892,0.0
1693577406.4782262,-0.0
1693577424.799282,-0.0
1693577443.1242301,0.0
1693577461.44482,-0.0
1693577479.7657256,-0.0
1693577498.0865564,0.0
1693577516.406871,0.0
1693577534.7277527,-0.0
1693577553.0487003,-1e-06
1693577571.3689368,-0.0
1693577589.6902082,-0.0
1693577608.0112998,-0.0
1693577626.332026,-0.0
1693577644.6519747,-1e-06
1693577662.9725463,-1e-06
1693577681.2935624,-0.0
1693577699.6145153,-1e-06
1693577717.9350984,-1e-06
1693577736.2556107,-0.0
1693577754.5755355,-1e-06
1693577772.8957684,-0.0
1693577791.2161596,-1e-06
1693577809.5369444,-0.0
1693577827.8571205,-0.0
1693577846.178172,-0.0
1693577864.4983304,-0.0
1693577882.8185081,-0.0
1693577901.1394863,-0.0
1693577919.4606423,-0.0
1693577937.7817838,0.0
1693577956.1026776,0.0
1693577974.42373,-0.0
1693577992.744825,-0.0
1693578011.0658486,-0.0
1693578029.3866072,0.0
1693578047.7066395,0.0
1693578066.0272477,-0.0
1693578084.3481302,-0.0
1693578102.6697924,-0.0
1693578120.9899883,-0.0
1693578139.3104546,-0.0
1693578157.6315718,-0.0
1693578175.952581,-0.0
1693578194.2729113,-0.0
1693578212.593896,-1e-06
1693578230.9146888,-0.0
1693578249.2348332,-0.0
1693578267.5542376,-0.0
1693578285.874881,-0.0
1693578304.1946292,-0.0
1693578322.5149975,-1e-06
1693578340.8349662,-0.0
1693578359.1554585,-0.0
1693578377.4757164,-0.0
1693578395.7963674,-1e-06
1693578414.117264,-1e-06
1693578432.437818,-0.0
1693578450.7583535,-0.0
1693578469.078584,-0.0
1693578487.399337,-0.0
1693578505.7200336,-0.0
1693578524.0411656,-0.0
1693578542.3620489,-0.0
1693578560.6830487,-0.0
1693578579.0036924,-0.0
1693578597.3245234,-1e-06
1693578615.6449044,-0.0
1693578633.966248,-0.0
1693578652.2920125,0.0
1693578670.6134348,-0.0
